Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,3645,0,4000.0,4020.580356818615,101.34827700312599,4463.589840001077,239.26556927297668,12.170474715705923,0.0,4000,4100,4100,4200,4200,4300,4300,4400,4400,4500,4500
,Aggregated,3645,0,4000.0,4020.580356818615,101.34827700312599,4463.589840001077,239.26556927297668,12.170474715705923,0.0,4000,4100,4100,4200,4200,4300,4300,4400,4400,4500,4500
