Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,1791,0,33000.0,30802.05897861474,201.15127300232416,34746.35685099929,477.73534338358456,5.981179064894741,0.0,33000,33000,34000,34000,35000,35000,35000,35000,35000,35000,35000
,Aggregated,1791,0,33000.0,30802.05897861474,201.15127300232416,34746.35685099929,477.73534338358456,5.981179064894741,0.0,33000,33000,34000,34000,35000,35000,35000,35000,35000,35000,35000
