Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,18163,0,840.0,810.5763080438206,25.674929000160773,959.8453270009486,48.65429719759952,60.64496001775538,0.0,840,850,850,860,870,890,900,910,940,960,960
,Aggregated,18163,0,840.0,810.5763080438206,25.674929000160773,959.8453270009486,48.65429719759952,60.64496001775538,0.0,840,850,850,860,870,890,900,910,940,960,960
