Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,1895,0,31000.0,29269.96433998203,185.35716599944863,33106.17273800017,477.76253298153034,6.328352080933977,0.0,31000,32000,32000,32000,33000,33000,33000,33000,33000,33000,33000
,Aggregated,1895,0,31000.0,29269.96433998203,185.35716599944863,33106.17273800017,477.76253298153034,6.328352080933977,0.0,31000,32000,32000,32000,33000,33000,33000,33000,33000,33000,33000
