Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,4858,0,120.0,122.0539473134939,37.21309699903941,271.3815290007915,41.82111980238781,16.22050741731185,0.0,120,130,140,150,160,170,190,190,230,270,270
,Aggregated,4858,0,120.0,122.0539473134939,37.21309699903941,271.3815290007915,41.82111980238781,16.22050741731185,0.0,120,130,140,150,160,170,190,190,230,270,270
