Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1726065865,50,,Aggregated,0.333333,0.000000,330,350,410,410,460,470,470,470,470,470,470,12,0,330.0,341.2967447502524,220.37594399989757,465.75245799976983,206.5
1726065866,50,,Aggregated,1.250000,0.000000,330,350,380,410,460,470,470,470,470,470,470,15,0,330.0,334.5540945335718,220.37594399989757,465.75245799976983,206.6
1726065867,50,,Aggregated,1.600000,0.000000,330,370,380,410,470,520,520,520,520,520,520,19,0,330.0,345.3134695790045,220.37594399989757,517.2051049994479,206.68421052631578
1726065868,50,,Aggregated,2.000000,0.000000,350,380,460,470,520,570,580,580,580,580,580,22,0,350.0,372.9647341364067,220.37594399989757,578.8336240002536,206.5909090909091
1726065869,50,,Aggregated,2.285714,0.000000,370,470,500,500,570,570,580,580,580,580,580,26,0,370.0,395.3905943078728,220.37594399989757,578.8336240002536,206.30769230769232
1726065870,50,,Aggregated,2.500000,0.000000,410,480,500,530,570,580,590,590,590,590,590,30,0,380.0,412.8048081668264,220.37594399989757,588.2033649995719,206.3
1726065871,50,,Aggregated,2.555556,0.000000,420,480,500,520,570,580,590,590,590,590,590,35,0,420.0,417.23120408579626,220.37594399989757,588.2033649995719,206.31428571428572
1726065872,50,,Aggregated,2.700000,0.000000,380,470,490,500,550,570,590,590,590,590,590,41,0,380.0,403.5718249269405,220.37594399989757,588.2033649995719,206.5121951219512
1726065873,50,,Aggregated,3.100000,0.000000,410,470,500,520,570,580,780,780,780,780,780,43,0,410.0,415.7367852326705,220.37594399989757,782.1633889998338,206.48837209302326
1726065874,50,,Aggregated,3.600000,0.000000,410,490,520,550,590,780,960,960,960,960,960,47,0,410.0,440.725116383119,220.37594399989757,962.2828160008794,206.40425531914894
1726065875,50,,Aggregated,4.000000,0.000000,370,470,500,530,580,780,850,960,960,960,960,53,0,370.0,427.22141977373093,220.37594399989757,962.2828160008794,206.47169811320754
1726065876,50,,Aggregated,3.900000,0.000000,350,460,500,520,580,780,850,960,960,960,960,60,0,350.0,413.79648275011886,220.37594399989757,962.2828160008794,206.51666666666668
1726065877,50,,Aggregated,4.000000,0.000000,350,420,480,500,570,690,850,960,960,960,960,65,0,350.0,410.33541846162944,220.37594399989757,962.2828160008794,206.35384615384615
