Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,609,0,1000.0,960.7747534532075,449.69429500088154,1571.677035999528,408.2610837438424,2.0351610090321133,0.0,1000,1100,1100,1100,1200,1300,1300,1400,1600,1600,1600
,Aggregated,609,0,1000.0,960.7747534532075,449.69429500088154,1571.677035999528,408.2610837438424,2.0351610090321133,0.0,1000,1100,1100,1100,1200,1300,1300,1400,1600,1600,1600
